Cross section of antineutrinos of energy E (MeV) scattering off 129Xe in units of cm^2

E	CS
1.0	0.0
1.2	0.0
1.4	2.56687614193e-53
1.6	1.65436783976e-52
1.8	5.61173535361e-52
2.0	1.46838891648e-51
2.2	1.74325238772e-48
2.4	4.8548766208e-48
2.6	8.89468331607e-48
2.8	1.3589832734e-47
3.0	1.97470277568e-47
3.2	8.79338834915e-47
3.4	1.89090931225e-46
3.6	3.13065448528e-46
3.8	4.67592074199e-46
4.0	6.46360102866e-46
4.2	8.57043635098e-46
4.4	1.09529681129e-45
4.6	1.36787672412e-45
4.8	1.83515180027e-45
5.0	2.47036336133e-45
5.2	3.63232497661e-45
5.4	5.2883159757e-45
5.6	7.22951852528e-45
5.8	9.44677956929e-45
6.0	1.19308246747e-44
6.2	1.47947196092e-44
6.4	1.81960835771e-44
6.6	2.19821065989e-44
6.8	2.61910809108e-44
7.0	3.08958163668e-44
7.2	3.62180823844e-44
7.4	4.20893385852e-44
7.6	4.85019606741e-44
7.8	5.55045569974e-44
8.0	6.31129438673e-44
8.2	7.13142822074e-44
8.4	8.01217152458e-44
8.6	8.97325107246e-44
8.8	1.00087909227e-43
9.0	1.11163776812e-43
9.2	1.22986248858e-43
9.4	1.3557320087e-43
9.6	1.48969027103e-43
9.8	1.63191880861e-43
10.0	1.78294720253e-43
