Cross section of neutrinos of energy E (MeV) scattering off 131Xe in units of cm^2

E	CS
0.0	0.0
0.2	0.0
0.4	7.17153743837e-45
0.6	1.258108895e-44
0.8	1.94858199806e-44
1.0	2.77406322177e-44
1.2	3.73283528216e-44
1.4	4.81723984927e-44
1.6	6.88561003784e-44
1.8	8.75626307026e-44
2.0	1.08680166284e-43
2.2	1.32351847161e-43
2.4	1.5859534304e-43
2.6	1.87033574878e-43
2.8	2.24042007313e-43
3.0	2.61595191136e-43
3.2	3.02696769109e-43
3.4	3.52939072859e-43
3.6	4.08377708619e-43
3.8	5.22288280672e-43
4.0	6.28397446761e-43
4.2	8.48238650939e-43
4.4	1.07388910526e-42
4.6	1.33879319718e-42
4.8	1.63260855646e-42
5.0	2.05041576666e-42
5.2	2.62272450391e-42
5.4	3.24132999681e-42
5.6	3.96230235502e-42
5.8	4.90784620026e-42
6.0	6.09468279986e-42
6.2	7.53656207286e-42
6.4	9.11014556903e-42
6.6	1.0867559792e-41
6.8	1.28363854707e-41
7.0	1.50117952894e-41
7.2	1.73927165158e-41
7.4	2.00252420152e-41
7.6	2.29198683719e-41
7.8	2.60199208714e-41
8.0	2.94139829718e-41
8.2	3.32130902633e-41
8.4	3.71843178086e-41
8.6	4.1422972214e-41
8.8	4.59274774493e-41
9.0	5.06980484711e-41
9.2	5.57340372649e-41
9.4	6.10321516574e-41
9.6	6.65932038533e-41
9.8	7.24204440909e-41
10.0	7.86352129791e-41
