Cross section of antineutrinos of energy E (MeV) scattering off 131Xe in units of cm^2

E	CS 
1.0	0.0
1.2	0.0
1.4	0.0
1.6	0.0
1.8	0.0
2.0	2.00385900649e-51
2.2	3.14370616009e-46
2.4	8.49910248567e-46
2.6	1.48871897422e-45
2.8	2.2238005376e-45
3.0	3.05275930721e-45
3.2	3.98166347155e-45
3.4	5.02466325692e-45
3.6	6.16711301949e-45
3.8	7.40517815168e-45
4.0	8.76287030154e-45
4.2	1.02750175609e-44
4.4	1.19154393541e-44
4.6	1.36817529453e-44
4.8	1.55731137101e-44
5.0	1.75809692238e-44
5.2	1.97024577011e-44
5.4	2.19430403136e-44
5.6	2.43552770465e-44
5.8	2.7041556919e-44
6.0	2.99580958372e-44
6.2	3.32788483943e-44
6.4	3.68502206205e-44
6.6	4.06466042592e-44
6.8	4.47012533141e-44
7.0	4.91106815864e-44
7.2	5.38239258575e-44
7.4	5.8840683518e-44
7.6	6.41633306475e-44
7.8	6.98236611042e-44
8.0	7.5947356303e-44
8.2	8.2536962751e-44
8.4	8.95950523316e-44
8.6	9.70898336479e-44
8.8	1.05003372032e-43
9.0	1.13342601225e-43
9.2	1.22162895849e-43
9.4	1.31557782523e-43
9.6	1.41488042779e-43
9.8	1.5193786111e-43
10.0	1.62919753625e-43



