Factor,Xe124 Mixed,Xe124 B+B+,Xe136,Ge76,Xe136
G01,5.78E-17,3.12E-18,4.90E-14,2.37E-15,1.46E-14
G02,1.04E-15,4.40E-19,1.26E-13,3.91E-15,3.68E-14
G03,3.81E-16,3.74E-19,3.02E-14,1.31E-15,9.05E-15
G04,4.55E-18,5.03E-19,1.00E-14,4.70E-16,3.10E-15
G05,2.12E-15,-1.60E-16,1.61E-12,5.66E-14,4.02E-13
G06,1.18E-14,8.56E-16,7.54E-12,5.31E-14,2.28E-12
G07,5.46E-13,-4.89E-14,7.28E-10,2.70E-11,1.81E-10
G08,4.89E-14,4.52E-15,8.00E-11,1.49E-12,1.66E-11
G09,1.53E-12,1.32E-13,1.66E-09,1.22E-10,4.96E-10
G10,2.40E-17,1.71E-18,7.89E-15,1.41E-15,1.17E-14
G11,,,,4.76E-16,3.24E-15
Ref,Doi93,Doi93,Doi93,Stefanik15,Stefanik15
