 DECAY0 generated file: 0nu2bplus_test.dat                      

  date and hour         :   12. 6.2019    10:36: 8
  initial random number :            0
    
  event type: Xe124           
              0nubb(mn) 0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
    
       1  0.00000       2
  2 -0.494016     -0.458999      0.261152      0.00000    
  2  0.425786      0.544596     -0.402622      0.00000    
       2  0.00000       2
  2  -1.03731      0.982405E-01 -0.308111      0.00000    
  2 -0.225728     -0.820907E-01  0.288380      0.00000    
       3  0.00000       2
  2  0.356373      0.174004      0.475204      0.00000    
  2 -0.617474      0.647666     -0.579935E-01  0.00000    
       4  0.00000       2
  2 -0.484951      0.381877     -0.498700      0.00000    
  2  0.666812     -0.756704E-02  0.296440      0.00000    
       5  0.00000       2
  2  0.273638E-01  0.596237     -0.572145E-01  0.00000    
  2  0.464544      0.677343     -0.400419      0.00000    
       6  0.00000       2
  2 -0.653536      0.431770      0.148548      0.00000    
  2 -0.291291E-01 -0.716225      0.114908      0.00000    
       7  0.00000       2
  2  0.543632      0.148667     -0.813700      0.00000    
  2 -0.344450      0.307825     -0.212172      0.00000    
       8  0.00000       2
  2  0.750416      0.354937     -0.603955      0.00000    
  2 -0.359358     -0.151315     -0.245345      0.00000    
       9  0.00000       2
  2 -0.608256      0.117908      0.856043E-01  0.00000    
  2  0.748934      0.181019      0.447294      0.00000    
      10  0.00000       2
  2 -0.237779     -0.253529      0.533488      0.00000    
  2  0.139039      0.615995     -0.614046      0.00000    
      11  0.00000       2
  2  0.541023     -0.411336E-01 -0.357584E-01  0.00000    
  2 -0.276621     -0.488939     -0.779889      0.00000    
      12  0.00000       2
  2  0.323917     -0.139724     -0.655977      0.00000    
  2 -0.179552     -0.445095     -0.613334      0.00000    
      13  0.00000       2
  2  0.462983     -0.635407     -0.785722E-01  0.00000    
  2 -0.479552      0.261824     -0.489083      0.00000    
      14  0.00000       2
  2 -0.447191     -0.834029E-01 -0.362005      0.00000    
  2 -0.275242     -0.884380      0.781468E-01  0.00000    
      15  0.00000       2
  2  0.547939      0.680636     -0.474901      0.00000    
  2 -0.317123E-01 -0.364414     -0.344433      0.00000    
      16  0.00000       2
  2 -0.416519E-02  0.765898      0.518644      0.00000    
  2  0.206294     -0.438745     -0.330265      0.00000    
      17  0.00000       2
  2  0.239288      0.111952     -0.249551      0.00000    
  2  -1.04319     -0.194540     -0.267001      0.00000    
      18  0.00000       2
  2  0.208951     -0.646425      0.109469      0.00000    
  2 -0.609251      0.338606     -0.456939      0.00000    
      19  0.00000       2
  2 -0.304468      0.619985     -0.389265E-01  0.00000    
  2  0.114673      0.591270     -0.571049      0.00000    
      20  0.00000       2
  2 -0.553460     -0.365460E-02 -0.295714      0.00000    
  2 -0.326005     -0.825689      0.493560E-01  0.00000    
      21  0.00000       2
  2  0.393712     -0.446527     -0.230090      0.00000    
  2 -0.223449     -0.196319E-01  0.850376      0.00000    
      22  0.00000       2
  2  0.746159E-01  0.249073      0.683487      0.00000    
  2  0.208713     -0.380401      0.662668      0.00000    
      23  0.00000       2
  2 -0.793167     -0.545824      0.307610      0.00000    
  2 -0.126640      0.202898      0.417928      0.00000    
      24  0.00000       2
  2 -0.163580      0.898117E-01  0.489360      0.00000    
  2  0.802384     -0.548023     -0.106585      0.00000    
      25  0.00000       2
  2  0.143363      0.185040      0.787592      0.00000    
  2 -0.534364E-01 -0.245514     -0.653986      0.00000    
      26  0.00000       2
  2 -0.571587      0.101716     -0.589465      0.00000    
  2  0.394390     -0.457684      0.342641      0.00000    
      27  0.00000       2
  2 -0.852125      0.232789     -0.357025      0.00000    
  2 -0.492656E-01 -0.480491      0.271037      0.00000    
      28  0.00000       2
  2  0.733152      0.305738     -0.548126E-01  0.00000    
  2 -0.377052     -0.736616E-01  0.617208      0.00000    
      29  0.00000       2
  2  0.484047      0.884278     -0.752926E-01  0.00000    
  2 -0.111162     -0.467942      0.195951E-01  0.00000    
      30  0.00000       2
  2  0.114120     -0.749554     -0.274312      0.00000    
  2 -0.711999      0.607942E-01  0.539456E-01  0.00000    
      31  0.00000       2
  2 -0.427896E-01  0.440721     -0.625693      0.00000    
  2  0.497435     -0.537142     -0.193363      0.00000    
      32  0.00000       2
  2 -0.165005     -0.777813      0.376079      0.00000    
  2 -0.202026     -0.555773     -0.239742      0.00000    
      33  0.00000       2
  2  0.220363     -0.239826      0.765945      0.00000    
  2 -0.104375E-01 -0.357438     -0.589316      0.00000    
      34  0.00000       2
  2  0.399242E-01 -0.465505     -0.645764      0.00000    
  2  0.649884      0.144015     -0.290212      0.00000    
      35  0.00000       2
  2 -0.424664     -0.457494     -0.693176      0.00000    
  2 -0.741695E-01  0.569547     -0.602770E-01  0.00000    
      36  0.00000       2
  2 -0.722895E-01 -0.475491     -0.355793      0.00000    
  2 -0.491173     -0.639622      0.432101      0.00000    
      37  0.00000       2
  2 -0.841239      0.157062      0.317743      0.00000    
  2 -0.210451     -0.265902      0.495727      0.00000    
      38  0.00000       2
  2  0.134976      0.228347     -0.413584      0.00000    
  2  0.638920     -0.684196     -0.360618      0.00000    
      39  0.00000       2
  2  0.700710     -0.164065      0.233287      0.00000    
  2 -0.269857      0.106471      0.710229      0.00000    
      40  0.00000       2
  2  0.667765E-01  0.389419     -0.514583      0.00000    
  2  0.727387      0.373802      0.296498      0.00000    
      41  0.00000       2
  2  0.473243E-01 -0.158716     -0.234944      0.00000    
  2 -0.351521E-01 -0.937250      0.646364      0.00000    
      42  0.00000       2
  2  0.442813     -0.188931     -0.439403      0.00000    
  2 -0.731370      0.352267      0.304830      0.00000    
      43  0.00000       2
  2  0.537870     -0.445756      0.357646      0.00000    
  2 -0.457952     -0.732977E-01 -0.574984      0.00000    
      44  0.00000       2
  2  0.618964      0.554274     -0.748376      0.00000    
  2  0.128714      0.255046      0.153760      0.00000    
      45  0.00000       2
