 DECAY0 generated file: 0nu2bplus_test_rc.dat                   

  date and hour         :   12. 6.2019    10:36:33
  initial random number :            0
    
  event type: Xe124           
              0nubb(rc) 0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
    
       1  0.00000       2
  2 -0.247157      0.872373E-01 -0.254963      0.00000    
  2  0.470602E-01  0.899937     -0.618172      0.00000    
       2  0.00000       2
  2 -0.523811E-01  -1.11240      0.334869E-01  0.00000    
  2 -0.207023     -0.256035     -0.367842E-01  0.00000    
       3  0.00000       2
  2  0.201210E-01 -0.200639      0.333036      0.00000    
  2  0.775936      0.693847      0.277499      0.00000    
       4  0.00000       2
  2  0.484838     -0.141234      0.880383      0.00000    
  2 -0.269216     -0.263155      0.291444      0.00000    
       5  0.00000       2
  2  0.191333E-01 -0.448126E-01 -0.571724      0.00000    
  2 -0.271345      0.894070     -0.553157E-01  0.00000    
       6  0.00000       2
  2 -0.170151E-01 -0.193699      0.352001      0.00000    
  2  0.441570E-01  -1.06744     -0.221289E-01  0.00000    
       7  0.00000       2
  2 -0.805392     -0.187507     -0.505035      0.00000    
  2 -0.437951      0.289340      0.995457E-01  0.00000    
       8  0.00000       2
  2  0.543632      0.148667     -0.813700      0.00000    
  2 -0.344450      0.307825     -0.212172      0.00000    
       9  0.00000       2
  2 -0.610977      0.692802      0.447883      0.00000    
  2 -0.297342     -0.286176      0.204743      0.00000    
      10  0.00000       2
  2 -0.467564      0.906354E-01  0.658036E-01  0.00000    
  2  0.850160      0.205485      0.507750      0.00000    
      11  0.00000       2
  2  0.530015     -0.265875      -1.02297      0.00000    
  2 -0.724989E-01 -0.773011E-01  0.162661      0.00000    
      12  0.00000       2
  2 -0.109077      0.119458E-01 -0.532575      0.00000    
  2  0.417999     -0.180307     -0.846507      0.00000    
      13  0.00000       2
  2  -1.10723     -0.204151      0.488708E-01  0.00000    
  2  0.181265     -0.248771     -0.307622E-01  0.00000    
      14  0.00000       2
  2  0.368990     -0.909487     -0.433417      0.00000    
  2 -0.277986      0.751786E-01  0.271476      0.00000    
      15  0.00000       2
  2  0.495486      0.204240      0.828799      0.00000    
  2  0.249531      0.302156      0.329394      0.00000    
      16  0.00000       2
  2 -0.903448E-01  0.211878      -1.03309      0.00000    
  2  0.275386     -0.124942     -0.286740      0.00000    
      17  0.00000       2
  2  0.861818E-01 -0.429801      0.148847      0.00000    
  2 -0.122750     -0.781052     -0.652143      0.00000    
      18  0.00000       2
  2  0.142777     -0.131151E-01 -0.385691      0.00000    
  2  0.591939     -0.880807      0.435724E-01  0.00000    
      19  0.00000       2
  2   1.03192      0.282286      0.160422      0.00000    
  2  0.338054      0.175771      0.339636E-01  0.00000    
      20  0.00000       2
  2  0.718753      0.749203     -0.941539E-01  0.00000    
  2  0.157686     -0.205287     -0.354685      0.00000    
      21  0.00000       2
  2 -0.379863      -1.06813     -0.183547      0.00000    
  2  0.878110E-01 -0.236256      0.956163E-01  0.00000    
      22  0.00000       2
  2 -0.408156     -0.269513E-02 -0.218078      0.00000    
  2 -0.375846     -0.951924      0.569018E-01  0.00000    
      23  0.00000       2
  2 -0.278959     -0.245090E-01   1.06163      0.00000    
  2 -0.190745     -0.174292      0.247222      0.00000    
      24  0.00000       2
  2 -0.467854     -0.363881     -0.109436      0.00000    
  2  0.179715     -0.875848     -0.174785      0.00000    
      25  0.00000       2
  2 -0.145078      0.511504      0.273049      0.00000    
  2 -0.420791     -0.737164     -0.342769      0.00000    
      26  0.00000       2
  2  0.173209     -0.361180      0.648538E-01  0.00000    
  2  0.612996      0.128218     -0.862732      0.00000    
      27  0.00000       2
  2  0.929332      0.121676     -0.448675      0.00000    
  2  0.278383     -0.590423E-01 -0.340449      0.00000    
      28  0.00000       2
  2 -0.297979     -0.509592      0.502917E-01  0.00000    
  2 -0.311869     -0.751069     -0.430057      0.00000    
      29  0.00000       2
  2  0.176140      0.709391E-01  0.341934      0.00000    
  2  -1.04901     -0.230470     -0.660831E-01  0.00000    
      30  0.00000       2
  2  0.312285      0.292465     -0.283556      0.00000    
  2  0.842567E-01 -0.893370      0.408378      0.00000    
      31  0.00000       2
  2 -0.577171     -0.170785      0.776617      0.00000    
  2  0.732381E-01 -0.481037     -0.176044      0.00000    
      32  0.00000       2
  2 -0.994847      0.396192     -0.271508      0.00000    
  2 -0.244103     -0.195119     -0.150312      0.00000    
      33  0.00000       2
  2 -0.319445     -0.509068E-01 -0.234876E-01  0.00000    
  2 -0.864991     -0.386833      0.593882      0.00000    
      34  0.00000       2
  2 -0.344046      -1.05493      0.248277      0.00000    
  2 -0.119964     -0.254661      0.744133E-01  0.00000    
      35  0.00000       2
  2 -0.467016      0.163811      0.167945      0.00000    
  2 -0.849452      0.200335     -0.442209      0.00000    
      36  0.00000       2
  2 -0.145574     -0.224554      0.860368      0.00000    
  2 -0.565909      0.105657      0.213749      0.00000    
      37  0.00000       2
  2 -0.958364E-01 -0.202789      0.165090      0.00000    
  2 -0.987405      0.338165E-01  0.576362      0.00000    
      38  0.00000       2
  2  0.532352      0.152072     -0.877231      0.00000    
  2  0.278877      0.344589      0.504800E-01  0.00000    
      39  0.00000       2
  2  0.409542     -0.730136E-01  -1.02652      0.00000    
  2 -0.192334      0.279908      0.409186E-01  0.00000    
      40  0.00000       2
  2  0.474486     -0.360543      0.957096      0.00000    
  2 -0.147475      0.269941     -0.229462E-01  0.00000    
      41  0.00000       2
  2  0.396827     -0.216982      0.773479E-01  0.00000    
  2 -0.164326E-01 -0.967554     -0.346789      0.00000    
      42  0.00000       2
  2  0.440311     -0.748491      0.740344      0.00000    
  2 -0.222368E-01  0.270908      0.806992E-01  0.00000    
      43  0.00000       2
  2 -0.464725      0.241288      0.213532E-01  0.00000    
  2  0.362968      0.127515      0.898320      0.00000    
      44  0.00000       2
