 DECAY0 generated file: 2nu2bplus_test.dat                      

  date and hour         :   12. 6.2019    10:25:34
  initial random number :            0
    
  event type: Xe124           
              2nubb     0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
    
       1  0.00000       2
  2  0.195793      0.315900      0.109384      0.00000    
  2  0.376674E-01 -0.375605      0.623458      0.00000    
       2  0.00000       2
  2  0.173527      0.412518     -0.600769      0.00000    
  2  0.258461     -0.752901E-01  0.469321      0.00000    
       3  0.00000       2
  2  0.143777E-01 -0.336744E-01 -0.429621      0.00000    
  2 -0.146407      0.482406     -0.298463E-01  0.00000    
       4  0.00000       2
  2 -0.329648      0.217788      0.749286E-01  0.00000    
  2 -0.176623E-01 -0.434280      0.696740E-01  0.00000    
       5  0.00000       2
  2 -0.621628      0.120500      0.874862E-01  0.00000    
  2  0.396578      0.958537E-01  0.236853      0.00000    
       6  0.00000       2
  2  0.286897     -0.169752     -0.542494      0.00000    
  2  0.394811     -0.178020     -0.116711      0.00000    
       7  0.00000       2
  2 -0.351442     -0.655453E-01 -0.284496      0.00000    
  2 -0.149168     -0.479293      0.423519E-01  0.00000    
       8  0.00000       2
  2 -0.981890E-01 -0.326024     -0.124335      0.00000    
  2  0.293134      0.120830      0.490325      0.00000    
       9  0.00000       2
  2  0.144598     -0.307531     -0.231493      0.00000    
  2 -0.211955      0.337555     -0.201060      0.00000    
      10  0.00000       2
  2  0.200785     -0.302156     -0.213272E-01  0.00000    
  2 -0.484789     -0.466861     -0.369315E-02  0.00000    
      11  0.00000       2
  2 -0.237277     -0.130273     -0.210167      0.00000    
  2 -0.245657      0.500229     -0.314074E-01  0.00000    
      12  0.00000       2
  2 -0.354341      0.344519     -0.245536      0.00000    
  2  0.344383     -0.409262     -0.250329      0.00000    
      13  0.00000       2
  2 -0.663734     -0.115332     -0.384086      0.00000    
  2 -0.248200      0.372646      0.329440      0.00000    
      14  0.00000       2
  2 -0.274747     -0.481317     -0.223804      0.00000    
  2  0.295691      0.140700      0.281396      0.00000    
      15  0.00000       2
  2  0.155975     -0.197899     -0.266321      0.00000    
  2 -0.104297E-01  0.496681      0.210099      0.00000    
      16  0.00000       2
  2  0.465086      0.193950     -0.347712E-01  0.00000    
  2 -0.342506     -0.669126E-01  0.560659      0.00000    
      17  0.00000       2
  2 -0.279666     -0.827530E-01  0.376307      0.00000    
  2  0.490638E-01 -0.322257     -0.117935      0.00000    
      18  0.00000       2
  2  0.372877      0.358644      0.155507      0.00000    
  2 -0.655540      0.114851     -0.369048E-01  0.00000    
      19  0.00000       2
  2 -0.580598E-01 -0.381894     -0.285757      0.00000    
  2 -0.273953     -0.356751      0.241005      0.00000    
      20  0.00000       2
  2 -0.436332      0.814643E-01  0.164806      0.00000    
  2 -0.269712     -0.340776      0.635318      0.00000    
      21  0.00000       2
  2  0.526405E-02  0.430060     -0.237556      0.00000    
  2  0.361629E-01 -0.127252      0.355122      0.00000    
      22  0.00000       2
  2  0.653754     -0.153071      0.217654      0.00000    
  2 -0.179814      0.709447E-01  0.473249      0.00000    
      23  0.00000       2
  2  0.323288      0.192482     -0.276546      0.00000    
  2  0.498107     -0.322000     -0.331670      0.00000    
      24  0.00000       2
  2 -0.401844     -0.598822E-01  0.199449      0.00000    
  2  0.309494     -0.277077     -0.288261      0.00000    
      25  0.00000       2
  2 -0.341315     -0.102828      0.182771      0.00000    
  2 -0.372068     -0.262391      0.740767E-01  0.00000    
      26  0.00000       2
  2  0.112853      0.478297     -0.555726      0.00000    
  2 -0.447921     -0.709876E-01  0.698826E-01  0.00000    
      27  0.00000       2
  2 -0.399413E-02  0.205952E-01 -0.314849      0.00000    
  2  0.270307      0.343786      0.155659      0.00000    
      28  0.00000       2
  2  0.332758     -0.157371      0.313060      0.00000    
  2  0.525302E-01 -0.410563     -0.389972      0.00000    
      29  0.00000       2
  2 -0.895919E-01 -0.285744      0.326963      0.00000    
  2  0.153091      0.576740     -0.470485      0.00000    
      30  0.00000       2
  2 -0.179326     -0.761818     -0.157314      0.00000    
  2 -0.274064      0.360410E-01 -0.134639      0.00000    
      31  0.00000       2
  2 -0.403748     -0.425185     -0.191471      0.00000    
  2  0.188920     -0.319736E-01  0.343404      0.00000    
      32  0.00000       2
  2  0.767103E-01 -0.411027     -0.721060E-01  0.00000    
  2  0.402540      0.245797     -0.793791E-01  0.00000    
      33  0.00000       2
  2 -0.161979      0.860736E-01  0.458758      0.00000    
  2 -0.111772     -0.387640      0.284975E-01  0.00000    
      34  0.00000       2
  2  0.378772     -0.320420     -0.417809      0.00000    
  2 -0.449535      0.281694     -0.971278E-02  0.00000    
      35  0.00000       2
  2 -0.476026     -0.288445      0.221151      0.00000    
  2  0.198233     -0.322071     -0.357843      0.00000    
      36  0.00000       2
  2  0.368529E-01 -0.198056      0.169597      0.00000    
  2 -0.422849     -0.159019     -0.157580E-01  0.00000    
      37  0.00000       2
  2 -0.169523     -0.503168      0.454188      0.00000    
  2 -0.593174E-01  0.787454E-01  0.337943      0.00000    
      38  0.00000       2
  2  0.281416      0.165586     -0.189864      0.00000    
  2 -0.926516E-02 -0.286557      0.608969      0.00000    
      39  0.00000       2
  2  0.572688      0.925696E-01  0.416371      0.00000    
  2 -0.248103      0.405294     -0.234018      0.00000    
      40  0.00000       2
  2 -0.240254      0.257057E-01 -0.165618      0.00000    
  2 -0.385246      0.497233E-01  0.287802      0.00000    
      41  0.00000       2
  2 -0.826681E-01  0.109879      0.294601      0.00000    
  2 -0.113447      0.174623      0.492689E-01  0.00000    
      42  0.00000       2
  2 -0.353719     -0.480240     -0.254953E-01  0.00000    
  2 -0.114009      0.384819      0.160412      0.00000    
      43  0.00000       2
  2 -0.897926E-01  0.160333      0.378435      0.00000    
  2  0.437513      0.226983     -0.371539      0.00000    
      44  0.00000       2
