 DECAY0 generated file: test2nukb+                              

  date and hour         :    4. 6.2019    10:29:42
  initial random number :            0
    
  event type: Xe124           
              2nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
    
       1  0.00000       2
  2  0.984073E-02 -0.953639      0.103611      0.00000    
  1  0.158150E-01 -0.221635E-01  0.164288E-01  0.00000    
       2  0.00000       2
  2  0.654736       1.03563      0.892099      0.00000    
  1  0.301256E-02 -0.276455E-01 -0.154237E-01  0.00000    
       3  0.00000       2
  2  0.719468       1.16082      0.401945      0.00000    
  1  0.164348E-02 -0.163882E-01  0.272023E-01  0.00000    
       4  0.00000       2
  2 -0.497122     -0.102416      0.131744E-01  0.00000    
  1  0.240642E-01  0.204423E-01 -0.377693E-02  0.00000    
       5  0.00000       2
  2 -0.403676     -0.837854E-01  0.583832      0.00000    
  1  0.200619E-01  0.154096E-01 -0.192693E-01  0.00000    
       6  0.00000       2
  2  0.322970     -0.940816E-01  0.586458      0.00000    
  1 -0.179818E-01 -0.175770E-01  0.194665E-01  0.00000    
       7  0.00000       2
  2 -0.271308E-01 -0.308855      0.561270      0.00000    
  1  0.131407E-02 -0.317660E-01 -0.658536E-03  0.00000    
       8  0.00000       2
  2  0.406294      0.592409     -0.350209      0.00000    
  1  0.932870E-03  0.317019E-01 -0.231537E-02  0.00000    
       9  0.00000       2
  2 -0.586918E-01  -1.14788      0.173594      0.00000    
  1  0.174653E-01  0.477622E-02 -0.261418E-01  0.00000    
      10  0.00000       2
  2  0.292848      -1.02824     -0.136733      0.00000    
  1  0.315822E-02 -0.307600E-01 -0.742235E-02  0.00000    
      11  0.00000       2
  2 -0.678694     -0.653207      0.467334      0.00000    
  1 -0.266611E-01  0.392512E-02  0.168825E-01  0.00000    
      12  0.00000       2
  2  0.587794E-03  0.909228E-01   1.17998      0.00000    
  1  0.208348E-01 -0.145952E-01 -0.190822E-01  0.00000    
      13  0.00000       2
  2 -0.471170      0.820073     -0.506928      0.00000    
  1  0.143284E-01 -0.847786E-02 -0.270936E-01  0.00000    
      14  0.00000       2
  2  0.113232     -0.158838     -0.364275      0.00000    
  1 -0.730940E-02  0.289355E-01  0.109795E-01  0.00000    
      15  0.00000       2
  2  0.499221     -0.563699      0.283866      0.00000    
  1 -0.275646E-01 -0.157464E-01 -0.186640E-02  0.00000    
      16  0.00000       2
  2  0.611151      0.126772E-01   1.07327      0.00000    
  1 -0.257447E-03 -0.136097E-01  0.287394E-01  0.00000    
      17  0.00000       2
  2 -0.361226E-01 -0.415095     -0.392334      0.00000    
  1 -0.203446E-01  0.191100E-01  0.152363E-01  0.00000    
      18  0.00000       2
  2  0.173876      0.210546      0.229526      0.00000    
  1  0.183726E-01  0.163134E-01 -0.201882E-01  0.00000    
      19  0.00000       2
  2  0.139504     -0.695727      0.240941      0.00000    
  1 -0.380864E-02 -0.242342E-01 -0.202345E-01  0.00000    
      20  0.00000       2
  2  0.120004     -0.672762E-01 -0.557175      0.00000    
  1  0.226214E-01 -0.451233E-02 -0.218895E-01  0.00000    
      21  0.00000       2
  2  0.705566      -1.06179     -0.749446E-01  0.00000    
  1 -0.229052E-01 -0.220581E-01 -0.174493E-03  0.00000    
      22  0.00000       2
  2  -1.12670      0.322684      0.244422E-01  0.00000    
  1 -0.167936E-01  0.266672E-01 -0.425199E-02  0.00000    
      23  0.00000       2
  2  0.504230     -0.459243      0.758038      0.00000    
  1 -0.215445E-01 -0.628252E-02 -0.225301E-01  0.00000    
      24  0.00000       2
  2  0.716888      -1.06899      0.472374      0.00000    
  1  0.279230E-01 -0.288629E-02  0.149403E-01  0.00000    
      25  0.00000       2
  2  0.870132      0.190156      0.198491      0.00000    
  1 -0.721971E-02 -0.309695E-01 -0.668366E-04  0.00000    
      26  0.00000       2
  2 -0.810943      0.788465     -0.561932      0.00000    
  1  0.185441E-01 -0.220377E-01 -0.134795E-01  0.00000    
      27  0.00000       2
  2 -0.521837      0.103160     -0.280797      0.00000    
  1 -0.308079E-01 -0.617447E-02  0.489794E-02  0.00000    
      28  0.00000       2
  2  0.741777      0.154454     -0.665165      0.00000    
  1  0.766711E-02  0.432185E-02  0.305578E-01  0.00000    
      29  0.00000       2
  2  0.847988      0.373553      0.419014      0.00000    
  1 -0.405072E-02  0.296887E-01 -0.106497E-01  0.00000    
      30  0.00000       2
  2  0.276435     -0.576429      0.103504      0.00000    
  1  0.182851E-01  0.382464E-02 -0.257345E-01  0.00000    
      31  0.00000       2
  2 -0.441971E-01 -0.203064     -0.540910      0.00000    
  1  0.126144E-01 -0.113157E-01  0.269086E-01  0.00000    
      32  0.00000       2
  2  0.420657     -0.533727     -0.718257      0.00000    
  1 -0.614886E-03  0.292820E-01  0.123865E-01  0.00000    
      33  0.00000       2
  2  0.280087      0.112803      0.543723      0.00000    
  1 -0.310006E-01 -0.681090E-02 -0.195290E-02  0.00000    
      34  0.00000       2
  2  0.441849E-01  0.360750     -0.159956      0.00000    
  1  0.100324E-01 -0.832564E-02 -0.290047E-01  0.00000    
      35  0.00000       2
  2 -0.147513     -0.620965      0.260029E-01  0.00000    
  1 -0.130232E-01 -0.249052E-01 -0.148785E-01  0.00000    
      36  0.00000       2
  2  0.556657     -0.601091     -0.216383      0.00000    
  1 -0.286373E-01  0.114046E-01 -0.781551E-02  0.00000    
      37  0.00000       2
  2 -0.217125     -0.527515      0.684287      0.00000    
  1 -0.279795E-01 -0.138071E-01  0.614415E-02  0.00000    
      38  0.00000       2
  2 -0.513794      0.900169E-01 -0.289250E-01  0.00000    
  1  0.159285E-02 -0.185721E-01 -0.257639E-01  0.00000    
      39  0.00000       2
  2 -0.766956      0.269018      0.275807      0.00000    
  1 -0.276091E-01  0.651136E-02 -0.143728E-01  0.00000    
      40  0.00000       2
  2  0.113084      0.828560     -0.114861      0.00000    
